road,roadName,vulnerableUserAccidents
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_202304178,Prinses Mariannelaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_41886857,Zuidpoldersingel,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_438643984,President Kennedylaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7291241,Edisonweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_129481665,Westvlietweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7297372,Koninginneweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6621422,Laan van Troyes,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7494697,Laan van Meerdervoort,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6668161,Deurningerstraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_130197720,Thorbeckelaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_958517968,Hengelolaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_222704591,Dirck Hoetweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_667325194,Dedemsvaartweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6863967,Arnhemsestraatweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_992076309,Rottumerooglaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6648460,Raadhuisstraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_70005434,Westerterpweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6628377,Jonkheer Geverslaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_126443271,De Genestetlaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_872786818,Heusdenhoutsestraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7080808,Sint Teunislaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6392579,Zaagmuldersweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6670583,Sloetsweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1263114448,Doctor van den Berglaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1305524283,Glipper Dreef,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7436529,Hoge Rijndijk,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1434155021,Bastionweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6671253,Breemarsweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_84075596,Hooigracht,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_320015687,Merwedelaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7079509,Kooikersweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6981121,Ringweg-Koppel,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6617901,Papenhorn,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_694323805,Hobbemastraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1183737423,Hoornselaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_318634018,Guisweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7127435,Sint Annalaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_987002801,Sloterbeekstraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7058925,Brailledreef,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_671704286,Lage Zand,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6602579,Vondelstraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6880333,Utrechtsestraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6814388,Zweedsestraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6679785,De Vogelweide,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_47836851,Componistenweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_654020108,Westduinweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1084061430,Kleyn Proffijtlaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_895529319,Borniastraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6504547,Burgemeester Roelenweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_24845597,Klaphekweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_172179057,Rooseveltstraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6676371,Binnenhof,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6905144,Hogeweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1144538686,Baronieweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_335729378,Everard Meysterweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6629188,Laan der Nederlanden,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6628869,Duitslandlaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7362533,Buitenveldertselaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7385931,Pieter Calandlaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1174008419,Zoutmanstraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7480674,Waldorpstraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7481598,Fruitweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_56298047,Gieterij,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_421641035,Beukelsweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7556542,Eikenlaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_157165845,Burgemeester Keijzerweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_691295468,Nieuwe Binnenweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_278852070,Mierloseweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_810756732,Aartshertogenlaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6667473,Westelijke Esweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_225599560,Sperwerlaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6593348,Hoornselaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7021109,Atlasdreef,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7421256,Zijde,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7160044,Tempellaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7160045,Tempellaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_590174497,Monseigneur Nolensplein,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6919599,Mansholtlaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1258849710,Baron van Sternbachlaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7052903,De Liesbosch,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7037130,Dammerweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_536778619,Laan van de Glazen Stad,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_223303614,Plaswijckweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7567517,Verdilaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_148455306,Koningin Julianaweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7523395,Pompenburg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_148106210,Vasteland,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_61851782,Eendrachtsplein,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_61852119,Eendrachtsplein,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6955197,Proosdijerveldweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7338463,Dubbeldamseweg Zuid,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_701038001,Academiesingel,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6580318,Blauwe Berg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_536725448,Donau,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6651409,Knalhutteweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_266110814,Sint Teunislaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7132248,Driesveldlaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_773087340,Huissensestraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6635124,Oranjelaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6504082,Burgemeester Roelenweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1315852289,Eldensedijk,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_806370862,Biltse Rading,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_141508489,Biltstraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_401853868,Brederodeweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_666395209,Prinses Mariannelaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7076611,Rompertsebaan,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6601697,Vondelstraat,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1316394455,Zuidtangent,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7481102,Fruitweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7481024,Leeghwaterplein,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_934270429,Wiekslag,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7356209,Westkanaalweg,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6872429,Bijleveldsingel,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_884216771,Matenpoort,3
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7524614,Teldersweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_928827131,Patersweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6840013,Groteweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_1290637024,Rijksstraatweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6632780,Lange Nieuwstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7355768,Kennedylaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7337640,Groenekruislaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7276714,Westerhagelaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_817957123,Elsrijkdreef,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7490863,Leyweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_921657114,Verlengde Hereweg,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6875777,Huissensestraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_6580821,Dorpsstraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7425806,President Kennedylaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_126836024,Prinses Beatrixlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_124809204,Groen van Prinstererlaan,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_7413393,Nassaustraat,2
http://www.semanticweb.org/nicol/ontologies/2025/9/traffic/instance/road_120366407,Leyweg,2
