site_id,total_measurements,flow_measurements,speed_measurements,avg_flow,max_flow,avg_speed,max_speed,min_speed,speed_std,latitude,longitude,sensor_type,matched_dgl_loc,wegtype,match_strategy,provider,device_type,road_number,direction,hectometer,lane
RWS01_MONIBAS_0200vwc0386ra,4,2,2,600.0,600.0,85.0,85.0,85.0,0.0,51.95834030971286,4.569791637483579,CountingPoint,RWS01_MONIBAS_0200vwc0386ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0150vwc0398ra,4,2,2,,,,,,,51.88938203881224,4.259682160893351,CountingPoint,RWS01_MONIBAS_0150vwc0398ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0010vwp0083ra,4,2,2,1500.0,1500.0,95.0,95.0,95.0,0.0,52.34060158316028,4.984715318035024,CountingPoint,RWS01_MONIBAS_0010vwp0083ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0160vwb0388ra,4,2,2,120.0,120.0,83.0,83.0,83.0,0.0,51.76962462497424,4.647532789818031,CountingPoint,RWS01_MONIBAS_0160vwb0388ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0050vwf0086ra,4,2,2,600.0,600.0,23.0,23.0,23.0,0.0,52.35999183391319,4.741899830692868,CountingPoint,RWS01_MONIBAS_0050vwf0086ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0040vwe0637ra,4,2,2,360.0,360.0,96.0,96.0,96.0,0.0,51.92548526109111,4.362092773066645,CountingPoint,RWS01_MONIBAS_0040vwe0637ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0120vwc0458ra,4,2,2,360.0,360.0,60.0,60.0,60.0,0.0,52.07241125149344,4.906100027085802,CountingPoint,RWS01_MONIBAS_0120vwc0458ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0580vwn0157ra,4,2,2,360.0,360.0,59.0,59.0,59.0,0.0,51.4909625959426,5.364053246361726,CountingPoint,RWS01_MONIBAS_0580vwn0157ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0020vwc1785ra,4,2,2,60.0,60.0,57.0,57.0,57.0,0.0,51.339672235334895,5.564240037225462,CountingPoint,RWS01_MONIBAS_0020vwc1785ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONIBAS_0010vwm0868ra,4,2,2,1440.0,1440.0,86.0,86.0,86.0,0.0,52.18504553330662,6.014280897394052,CountingPoint,RWS01_MONIBAS_0010vwm0868ra,H,exact,RWS01,MONIBAS,,,,
RWS01_MONICA_10D01D029C00D007000B,4,2,2,1080.0,1080.0,89.0,89.0,89.0,0.0,51.81461114375029,4.485969421762004,CountingPoint,RWS01_MONICA_10D01D029C00D007000B,H,exact,RWS01,MONICA,,,,
RWS01_MONIBAS_0060vwp0482ra,4,2,2,360.0,360.0,95.0,95.0,95.0,0.0,52.345934634223234,5.185011885208088,CountingPoint,RWS01_MONIBAS_0060vwp0482ra,H,exact,RWS01,MONIBAS,,,,
