id,naam,dgl_loc,lengte,wegtype,meetgeg,ref_begin,ref_eind,ref_loc,length_km,geometry_wkt,sensor_uri,sensor_type,centroid_lon,centroid_lat
4847,0581hrr0902ra0,RWS01_MONIBAS_0581hrr0902ra0,1758.0,H,4,14539,14540,14541,1.7589932115239666,"LINESTRING (4.480837730996906 51.533891927571055, 4.4806225 51.5336858, 4.4797384 51.5328268, 4.4781275 51.5312777, 4.4778756 51.531029, 4.4773392 51.5305125, 4.4759199 51.5291363, 4.4747254 51.52798, 4.4743812 51.5276479, 4.474111 51.5274071, 4.4739042 51.5272404, 4.4736308 51.5270166, 4.473246 51.5267464, 4.4728649 51.5265111, 4.4724033 51.5262663, 4.4721738 51.5261576, 4.4715575 51.5259195, 4.4711233 51.5257855, 4.4706156 51.5256475, 4.4700334 51.5255349, 4.4695614 51.525461, 4.4691931 51.525419, 4.4685969 51.5253717, 4.4679469 51.5253438, 4.4658107 51.5253192, 4.4650318 51.5253109, 4.4636143 51.5252943, 4.4626698 51.5253066, 4.462270290093954 51.525325980118616)",sensor:meetvak_20,MeasurementSection,4.472299597763706,51.5278259621358
4846,0041hrl0312ra0,RWS01_MONIBAS_0041hrl0312ra0,512.0,H,4,14536,14537,14538,0.512921349263321,"LINESTRING (4.533204143822748 52.15064912325181, 4.534400600860518 52.15113990400849, 4.536602000862777 52.152111904009104, 4.53675230086293 52.15218040400918, 4.539097600865336 52.153253704009835, 4.539286713125586 52.153340843815194)",sensor:meetvak_21,MeasurementSection,4.536255453173078,52.15197201694196
4845,0271hrl1140ra0,RWS01_MONIBAS_0271hrl1140ra0,4760.0,H,4,14533,14534,14535,4.7604802386207945,"LINESTRING (5.336601209480109 52.35021138816511, 5.3366828 52.3501403, 5.3391109 52.3480501, 5.3403993 52.346928, 5.3409194 52.3464609, 5.3415731 52.3458559, 5.3422541 52.34518, 5.3429408 52.3444361, 5.3432935 52.3440235, 5.3435748 52.3436847, 5.3440934 52.3430076, 5.3446763 52.3421892, 5.3454128 52.3409809, 5.3459906 52.3398065, 5.3462469 52.3391683, 5.3465002 52.3385433, 5.3468089 52.3375458, 5.3468754 52.337295, 5.3469152 52.3371449, 5.3470752 52.3365417, 5.3472573 52.3355048, 5.3473601 52.3344597, 5.3473617 52.3335923, 5.3473236 52.3327485, 5.3472777 52.3321767, 5.347194 52.3316027, 5.3469877 52.3305958, 5.3466361 52.329308, 5.3462886 52.3284001, 5.3460248 52.32775, 5.3457146 52.3271051, 5.3453877 52.3264775, 5.3450065 52.3258724, 5.3445422 52.3251396, 5.3440248 52.3244167, 5.343436 52.3236617, 5.3428124 52.3229281, 5.3413831 52.3214402, 5.3411446 52.3212198, 5.3394254 52.3197608, 5.3378664 52.3185081, 5.3357739 52.3168677, 5.3338131 52.315404, 5.3334641 52.3151503, 5.3321197 52.3141995, 5.331492 52.3137563, 5.3304825 52.3130462, 5.329448948101072 52.3123615880414)",sensor:meetvak_22,MeasurementSection,5.341479726046627,52.330443867158294
4844,0381hrl0210ra0,RWS01_MONIBAS_0381hrl0210ra0,391.0,H,4,14530,14531,14532,0.39141199804959287,"LINESTRING (4.572803500884742 51.87510810383676, 4.573092800885032 51.87508560383673, 4.573338000885277 51.87507800383672, 4.573542400885485 51.875060203836746, 4.57377910088572 51.875025003836726, 4.574016100885955 51.87495630383668, 4.574217600886153 51.87486050383661, 4.574388400886319 51.874744403836516, 4.574501400886427 51.87460860383646, 4.574567300886484 51.87445570383636, 4.574583400886491 51.87428380383626, 4.574542500886442 51.87414660383614, 4.574442400886333 51.87399410383602, 4.574315900886201 51.873875403835996, 4.574167700886048 51.87378510383592, 4.573920200885792 51.87368010383584, 4.573710700885579 51.873628703835834, 4.573520800885388 51.87361020383581, 4.573302200885167 51.87360650383584, 4.57301550088488 51.873640703835804, 4.572800400884669 51.87369790383587, 4.572629000884498 51.87376690383585, 4.572427900884301 51.87387430383597, 4.572240800884122 51.87400750383605)",sensor:meetvak_23,MeasurementSection,4.573640937559655,51.874275793398134
4843,0671hrl0321ra0,RWS01_MONIBAS_0671hrl0321ra0,305.0,H,4,14527,14528,14529,0.30502374150383865,"LINESTRING (5.620952625090087 51.42108135045324, 5.616617831790156 51.420666809682466)",sensor:meetvak_24,MeasurementSection,5.618785228440121,51.420874080067854
4842,0101hrr0330ra0,RWS01_MONIBAS_0101hrr0330ra0,1000.0,H,4,14524,14525,14526,1.0004250460018955,"LINESTRING (4.899555147138224 52.423729129395326, 4.899986 52.4236132, 4.9008767 52.423351, 4.9011786 52.4232535, 4.9020478 52.4229764, 4.9029248 52.4226607, 4.9035328 52.4224183, 4.9044069 52.4220568, 4.9067055 52.4209839, 4.9075143 52.4206034, 4.9079105 52.4204165, 4.9086004 52.4200973, 4.9104964 52.4192503, 4.9116838 52.418756, 4.911737573820544 52.41873499952199)",sensor:meetvak_25,MeasurementSection,4.905699472721999,52.421374119848046
4841,0501hrl1637ra0,RWS01_MONIBAS_0501hrl1637ra0,583.0,H,4,14521,14522,14523,0.5830734151290835,"LINESTRING (5.766636858557028 51.98463060995712, 5.766282702089236 51.98434040389469, 5.765924802088866 51.98405100389453, 5.76526020208818 51.98345970389417, 5.764642802087541 51.98286640389384, 5.764377702087266 51.98260380389366, 5.764251002087136 51.98247230389358, 5.76403380208691 51.98222570389345, 5.763816602086682 51.98194470389328, 5.76353990208639 51.98155370389304, 5.763344602086185 51.98126120389284, 5.763201202086036 51.98101330389269, 5.763060002085886 51.98074550389254, 5.762957702085774 51.98054570389241, 5.762913002085725 51.98044490389235, 5.762745802085544 51.98002570389209)",sensor:meetvak_26,MeasurementSection,5.764475342882054,51.98249797184469
4840,0301hrr0217ra0,RWS01_MONIBAS_0301hrr0217ra0,796.0,H,4,14518,14519,14520,0.7960952293890182,"LINESTRING (5.562416931238554 52.140879293452414, 5.5625221 52.141911, 5.5625301 52.1419992, 5.562692 52.1436453, 5.5627254 52.143975, 5.5629296 52.1459409, 5.5630362 52.1469107, 5.56313 52.14756, 5.563204362036312 52.14801766644403)",sensor:meetvak_27,MeasurementSection,5.562783154245835,52.14445189784032
4839,0101hrr0271ra1,RWS01_MONIBAS_0101hrr0271ra1,309.0,H,4,14515,14516,14517,0.30952248960679796,"LINESTRING (4.844285932230378 52.392298083364366, 4.844293501182732 52.39283040415392, 4.844318501182786 52.39340790415428, 4.844375501182869 52.3939646041546, 4.844472901182992 52.39445810415488, 4.844551301183083 52.394751204155085, 4.844643401183191 52.39506610415525)",sensor:meetvak_28,MeasurementSection,4.844388671642866,52.39369292376905
4838,0271hrr0562ra0,RWS01_MONIBAS_0271hrr0562ra0,259.0,H,4,14512,14513,14514,0.2597310818539612,"LINESTRING (5.10043437471645 51.97390820421448, 5.101832701421566 51.97526490389909, 5.102009501421755 51.97544510389921, 5.102444901422208 51.97588500389947)",sensor:meetvak_29,MeasurementSection,5.101444112786457,51.974892089080456
4837,0071hrl0300ra0,RWS01_MONIBAS_0071hrl0300ra0,558.0,H,4,14509,14510,14511,0.5588207355543284,"LINESTRING (5.01737429799667 52.63934186940345, 5.016922401366412 52.639200004295304, 5.015541701365016 52.63875020429502, 5.014103101363564 52.63823300429475, 5.013117001362565 52.63785740429454, 5.012732401362176 52.637700004294445, 5.012421201361861 52.63756530429438, 5.012287301361726 52.63750510429436, 5.011460101360884 52.637103404294116, 5.010856401360268 52.63676620429394, 5.010566601359972 52.636588104293835, 5.010535926010484 52.6365687462822)",sensor:meetvak_30,MeasurementSection,5.013897693367343,52.63808846330108
