id,naam,dgl_loc,meetricht,wegtype,meetgeg,ref_mvak,longitude,latitude,geometry_wkt,sensor_uri,sensor_type
18682,0061hrl0591ra,RWS01_MONIBAS_0061hrl0591ra,238,H,3,,5.31885963212483,52.38895437938878,POINT (5.31885963212483 52.38895437938878),sensor:telpunt_854,CountingPoint
18681,0151hrl0467ra,RWS01_MONIBAS_0151hrl0467ra,248,H,3,,4.333065648521786,51.871170443147015,POINT (4.333065648521786 51.871170443147015),sensor:telpunt_855,CountingPoint
18680,00D00223A84BD0070187,RWS01_MONICA_00D00223A84BD0070187,197,H,3,,5.82583735616478,51.077047072811524,POINT (5.82583735616478 51.077047072811524),sensor:telpunt_856,CountingPoint
18679,0671hrl0182ra,RWS01_MONIBAS_0671hrl0182ra,258,H,3,,5.427424326290268,51.4046763546348,POINT (5.427424326290268 51.4046763546348),sensor:telpunt_857,CountingPoint
18678,0011hrl1631ra,RWS01_MONIBAS_0011hrl1631ra,246,H,3,,6.840733051004816,52.277666878610766,POINT (6.840733051004816 52.277666878610766),sensor:telpunt_858,CountingPoint
18677,00D01B0C880020200007,RWS01_MONICA_00D01B0C880020200007,46,H,3,,5.164838182331223,52.09112709297673,POINT (5.164838182331223 52.09112709297673),sensor:telpunt_859,CountingPoint
18676,00D00608F05068200009,RWS01_MONICA_00D00608F05068200009,219,H,3,,5.295113650722201,52.37969904068148,POINT (5.295113650722201 52.37969904068148),sensor:telpunt_860,CountingPoint
18675,00D00608F05068200005,RWS01_MONICA_00D00608F05068200005,219,H,3,,5.295113650722201,52.37969904068148,POINT (5.295113650722201 52.37969904068148),sensor:telpunt_861,CountingPoint
18674,0271hrr0244ra,RWS01_MONIBAS_0271hrr0244ra,36,H,3,,4.91259413775475,51.738527992796826,POINT (4.91259413775475 51.738527992796826),sensor:telpunt_862,CountingPoint
18673,00D002279C5FD0070007,RWS01_MONICA_00D002279C5FD0070007,229,H,3,,5.727261175846115,50.86826918036656,POINT (5.727261175846115 50.86826918036656),sensor:telpunt_863,CountingPoint
18672,0131hrr0081ra,RWS01_MONIBAS_0131hrr0081ra,145,H,3,,4.367480244751833,52.020197312058656,POINT (4.367480244751833 52.020197312058656),sensor:telpunt_864,CountingPoint
18671,0121hrl1227ra,RWS01_MONIBAS_0121hrl1227ra,264,H,3,,5.845470712674633,52.02871341550766,POINT (5.845470712674633 52.02871341550766),sensor:telpunt_865,CountingPoint
18670,00D00607343060200087,RWS01_MONICA_00D00607343060200087,53,H,3,,5.159394056310086,52.335249365567535,POINT (5.159394056310086 52.335249365567535),sensor:telpunt_866,CountingPoint
18669,00D00F086C3CB8200007,RWS01_MONICA_00D00F086C3CB8200007,99,H,3,,4.434481642887282,51.86893583724582,POINT (4.434481642887282 51.86893583724582),sensor:telpunt_867,CountingPoint
18668,0021hrl0505ra,RWS01_MONIBAS_0021hrl0505ra,342,H,3,,4.988926241406865,52.1641873602155,POINT (4.988926241406865 52.1641873602155),sensor:telpunt_868,CountingPoint
18667,00D002279C5FD007000B,RWS01_MONICA_00D002279C5FD007000B,229,H,3,,5.727261175846115,50.86826918036656,POINT (5.727261175846115 50.86826918036656),sensor:telpunt_869,CountingPoint
18666,00D0021A8C00D0050009,RWS01_MONICA_00D0021A8C00D0050009,308,H,3,,5.500560474300997,51.403355341621875,POINT (5.500560474300997 51.403355341621875),sensor:telpunt_870,CountingPoint
18665,0021hrl0638ra,RWS01_MONIBAS_0021hrl0638ra,14,H,3,,5.069893010771489,52.06505675703332,POINT (5.069893010771489 52.06505675703332),sensor:telpunt_871,CountingPoint
18664,00D00113645FD005000D,RWS01_MONICA_00D00113645FD005000D,234,H,3,,6.459669223271081,52.26429074090046,POINT (6.459669223271081 52.26429074090046),sensor:telpunt_872,CountingPoint
18663,0271hrl0695ra,RWS01_MONIBAS_0271hrl0695ra,192,H,3,,5.140827326916602,52.043745102889524,POINT (5.140827326916602 52.043745102889524),sensor:telpunt_873,CountingPoint
18662,0020vwn1186ra,RWS01_MONIBAS_0020vwn1186ra,73,H,3,,5.333967538137593,51.67537792932158,POINT (5.333967538137593 51.67537792932158),sensor:telpunt_874,CountingPoint
18661,0290vwr0103ra,RWS01_MONIBAS_0290vwr0103ra,261,H,3,,4.510831848405447,51.86645407934193,POINT (4.510831848405447 51.86645407934193),sensor:telpunt_875,CountingPoint
18660,0011hrr0355ra,RWS01_MONIBAS_0011hrr0355ra,106,H,3,,5.320191701058427,52.21605461635909,POINT (5.320191701058427 52.21605461635909),sensor:telpunt_876,CountingPoint
18659,00D00F06C41410200005,RWS01_MONICA_00D00F06C41410200005,275,H,3,,4.283823331837212,51.86770008689256,POINT (4.283823331837212 51.86770008689256),sensor:telpunt_877,CountingPoint
18658,0281hrl1077ra,RWS01_MONIBAS_0281hrl1077ra,192,H,3,,6.206427814405116,52.606525777546935,POINT (6.206427814405116 52.606525777546935),sensor:telpunt_878,CountingPoint
18657,00D03A055837D007000B,RWS01_MONICA_00D03A055837D007000B,224,H,3,,5.122647276001161,51.55138771548764,POINT (5.122647276001161 51.55138771548764),sensor:telpunt_879,CountingPoint
18656,00D00A024C5508200007,RWS01_MONICA_00D00A024C5508200007,206,H,3,,4.927891172729067,52.332581296732585,POINT (4.927891172729067 52.332581296732585),sensor:telpunt_880,CountingPoint
18655,0120vwj1067ra,RWS01_MONIBAS_0120vwj1067ra,17,H,3,,5.61318565455174,52.024291587908294,POINT (5.61318565455174 52.024291587908294),sensor:telpunt_881,CountingPoint
18654,00D043045C19D007000B,RWS01_MONICA_00D043045C19D007000B,62,H,3,,5.565658750825431,51.40774354278288,POINT (5.565658750825431 51.40774354278288),sensor:telpunt_882,CountingPoint
18653,00D01C001C32D0050005,RWS01_MONICA_00D01C001C32D0050005,253,H,3,,5.157849130630263,52.09138712707528,POINT (5.157849130630263 52.09138712707528),sensor:telpunt_883,CountingPoint
18652,00D01B008C05D0070007,RWS01_MONICA_00D01B008C05D0070007,9,H,3,,4.821588518883598,51.56769934892608,POINT (4.821588518883598 51.56769934892608),sensor:telpunt_884,CountingPoint
18651,00D00212945010200005,RWS01_MONICA_00D00212945010200005,69,H,3,,5.329895958743306,51.674248750627555,POINT (5.329895958743306 51.674248750627555),sensor:telpunt_885,CountingPoint
18650,00D002295001D0050009,RWS01_MONICA_00D002295001D0050009,349,H,3,,5.719606840804107,50.82088221737858,POINT (5.719606840804107 50.82088221737858),sensor:telpunt_886,CountingPoint
18649,0351hrr0328ra,RWS01_MONIBAS_0351hrr0328ra,91,H,3,,6.447840640091312,52.36711907433651,POINT (6.447840640091312 52.36711907433651),sensor:telpunt_887,CountingPoint
18648,0281hrl0356ra,RWS01_MONIBAS_0281hrl0356ra,239,H,3,,5.472037209415708,52.24118907648929,POINT (5.472037209415708 52.24118907648929),sensor:telpunt_888,CountingPoint
18647,00D00212A846D0050005,RWS01_MONICA_00D00212A846D0050005,58,H,3,,5.323747045549286,51.67211903260662,POINT (5.323747045549286 51.67211903260662),sensor:telpunt_889,CountingPoint
18646,00D00211C83760200007,RWS01_MONICA_00D00211C83760200007,147,H,3,,5.341787046196233,51.712047488606174,POINT (5.341787046196233 51.712047488606174),sensor:telpunt_890,CountingPoint
18645,00D00212A846D0050009,RWS01_MONICA_00D00212A846D0050009,58,H,3,,5.323747045549286,51.67211903260662,POINT (5.323747045549286 51.67211903260662),sensor:telpunt_891,CountingPoint
18644,0121hrl0385ra,RWS01_MONIBAS_0121hrl0385ra,275,H,3,,4.80210850094818,52.06487928737549,POINT (4.80210850094818 52.06487928737549),sensor:telpunt_892,CountingPoint
18643,0151hrr0518ra,RWS01_MONIBAS_0151hrr0518ra,92,H,3,,4.40528853772508,51.87355384336474,POINT (4.40528853772508 51.87355384336474),sensor:telpunt_893,CountingPoint
18642,0021hrr2562ra,RWS01_MONIBAS_0021hrr2562ra,158,H,3,,5.71140064285891,50.84817409758367,POINT (5.71140064285891 50.84817409758367),sensor:telpunt_894,CountingPoint
18641,00D03A061023D0050009,RWS01_MONICA_00D03A061023D0050009,99,H,3,,5.068647201261495,51.5373743424726,POINT (5.068647201261495 51.5373743424726),sensor:telpunt_895,CountingPoint
18640,0131hrl0188ra,RWS01_MONIBAS_0131hrl0188ra,320,H,3,,4.434637237752479,51.934870704426785,POINT (4.434637237752479 51.934870704426785),sensor:telpunt_896,CountingPoint
18639,0071hrl0268ra,RWS01_MONIBAS_0071hrl0268ra,199,H,3,,5.001787032087763,52.61344859183942,POINT (5.001787032087763 52.61344859183942),sensor:telpunt_897,CountingPoint
18638,00D00209CC116020030B,RWS01_MONICA_00D00209CC116020030B,195,H,3,,5.073064814721952,52.07487820898692,POINT (5.073064814721952 52.07487820898692),sensor:telpunt_898,CountingPoint
18637,0171hrr0193ra,RWS01_MONIBAS_0171hrr0193ra,221,H,3,,4.47279837501606,51.57018056505708,POINT (4.47279837501606 51.57018056505708),sensor:telpunt_899,CountingPoint
