id,naam,dgl_loc,meetricht,wegtype,meetgeg,ref_mvak,longitude,latitude,geometry_wkt,sensor_uri,sensor_type
3490,Imstenraderweg - Beitel,PLB02_281250_LP,133,O,3,,6.004248168,50.853060234,POINT (6.004248168 50.853060234),sensor:telpunt_16046,CountingPoint
3489,Annendaalderweg - Waldfeuchterbaan,PLB02_274350_LP,223,O,3,,5.97911987,51.077080881,POINT (5.97911987 51.077080881),sensor:telpunt_16047,CountingPoint
3488,Vilgert - Markt,PLB02_271170_LP,194,O,3,,6.16659809,51.41769961,POINT (6.16659809 51.41769961),sensor:telpunt_16048,CountingPoint
3487,Asseldonkstraat - Kerkstraat,PLB02_271360_RP,321,O,3,,6.049500973,51.601184733,POINT (6.049500973 51.601184733),sensor:telpunt_16049,CountingPoint
3486,Nusterweg - N276,PLB02_297250_LP,259,O,3,,5.864468263,51.028861137,POINT (5.864468263 51.028861137),sensor:telpunt_16050,CountingPoint
3485,BBK Neer Noord - Kessel,PLB02_273480_RP,62,O,3,,6.00805861,51.275071495,POINT (6.00805861 51.275071495),sensor:telpunt_16051,CountingPoint
3484,Startsedijk richting Hoverhofweg,PLB02_271750_RP,297,O,3,,5.896500996,51.745692811,POINT (5.896500996 51.745692811),sensor:telpunt_16052,CountingPoint
3483,A2 - Ring Weert,PLB02_275470_RP,251,O,3,,5.724798525,51.272374332,POINT (5.724798525 51.272374332),sensor:telpunt_16053,CountingPoint
3482,Havenweg - Belgische grens,PLB02_564170_RP,251,O,3,,5.59757558,51.221705012,POINT (5.59757558 51.221705012),sensor:telpunt_16054,CountingPoint
3481,A73 Noord - Mulkenshofweg,PLB02_273850_RP,8,O,3,,6.126327175,51.369583287,POINT (6.126327175 51.369583287),sensor:telpunt_16055,CountingPoint
3480,Tungelerdorpstraat - Komgrens Weert,PLB02_292130_LP,321,O,3,,5.719693854,51.235647108,POINT (5.719693854 51.235647108),sensor:telpunt_16056,CountingPoint
3479,Roermondseweg - A73,PLB02_276650_RP,67,O,3,,5.902190935,51.129151447,POINT (5.902190935 51.129151447),sensor:telpunt_16057,CountingPoint
3478,Kleefstraat - Oude Rijksweg Noord,PLB02_276550_LP,224,O,3,,5.875097943,51.084432528,POINT (5.875097943 51.084432528),sensor:telpunt_16058,CountingPoint
3477,Pastoor Leursstraat - Zandberg,PLB02_275170_LP,85,O,3,,6.047228142,51.354922344,POINT (6.047228142 51.354922344),sensor:telpunt_16059,CountingPoint
