id,externalId,validatedOn,rvvCode,status,textSigns,side,roadName,roadType,roadNumber,roadSectionId,nwbVersion,countyName,countyCode,townName,imageUrl,firstSeenOn,lastSeenOn,expectedRemovedOn,placedOn,removedOn,longitude,latitude,geometry_wkt
003c7dd8-5922-4511-942b-2fbb2149cffc,,,A3,PLACED,[ ],R,Rijksweg A4,1.0,4.0,600120700.0,2024-03-01,Haarlemmermeer,GM0394,Hoofddorp,https://wegkenmerken.ndw.nu/api/images/81c629dc-8c01-4afc-af83-8254fe2447df,2016-05-10,2022-04-24,,,,4.7104812998895,52.276980325062,POINT (4.710481 52.27698)
003f12d9-8f96-45f0-9cd2-b239774d4462,,,A3,PLACED,[ ],L,A 15,1.0,15.0,600143255.0,2024-03-01,Overbetuwe,GM1734,Herveld,https://wegkenmerken.ndw.nu/api/images/2582f592-52cc-4fb3-937a-30150fbcd6f7,2016-04-02,2022-05-11,,,,5.7339420038117,51.916164041103,POINT (5.733942 51.916164)
00424f25-faa6-4c42-818f-6717444adb0f,,,A3,PLACED,[ ],R,Rykswg,1.0,50.0,361286047.0,2024-03-01,Renkum,GM0274,Heelsum,https://wegkenmerken.ndw.nu/api/images/3ee42441-a17d-4d57-a27b-256a3aba347c,2022-04-28,2022-04-28,,,,5.7810858095786,51.992468253722,POINT (5.781086 51.992468)
0045093d-db81-4a2a-91ce-ff44e99520db,,,A3,PLACED,[ ],L,Rykswg,1.0,50.0,600141952.0,2024-03-01,Renkum,GM0274,Heelsum,https://wegkenmerken.ndw.nu/api/images/8cd743b5-051f-41e3-982e-c30b9b1435e2,2022-04-28,2022-04-28,,,,5.7627573686968,51.979899529615,POINT (5.762757 51.9799)
00531b75-d195-4a3d-9552-4ff8bea6b0da,,,A3,PLACED,[ ],O,Weena,,,600923766.0,2024-03-01,Rotterdam,GM0599,Rotterdam,https://wegkenmerken.ndw.nu/api/images/19c91159-8065-4284-a162-694d317f7bd3,2020-03-23,2022-03-07,,,,4.4670109863579,51.922377529625,POINT (4.467011 51.922378)
00540e3b-6fa7-4878-8773-dc27ef769936,,,A3,PLACED,[ ],N,Bornsestraat,,,,,Hengelo,GM0164,Hengelo,https://wegkenmerken.ndw.nu/api/images/202b6f94-fba9-4c29-9da3-2bac0f747dd6,2021-04-14,2022-04-10,,,,6.7797742529016,52.279744999785,POINT (6.779774 52.279745)
0054b1e3-699d-4cf2-b482-26c24aff415c,,,A3,PLACED,[ ],R,Rijksweg A4,1.0,4.0,600114459.0,2024-03-01,Leiderdorp,GM0547,Leiderdorp,https://wegkenmerken.ndw.nu/api/images/af231aa2-cd6a-42e3-b158-9fcc69519507,2016-05-10,2022-02-25,,,,4.5251006423959,52.148099826455,POINT (4.525101 52.1481)
00550847-df3d-4388-8e0a-f385fb0f0918,,,A3,PLACED,[ ],N,Zandweg,,,600771271.0,2024-03-01,Stichtse Vecht,GM1904,Maarssen,https://wegkenmerken.ndw.nu/api/images/e7a98894-ff35-4196-a7ce-8f59d6c54b50,2020-03-16,2022-05-05,,,,5.0443628553271,52.140229532534,POINT (5.044363 52.14023)
0055814f-2cc1-47b5-83b1-9f7ada7177e9,,,A3,PLACED,[ ],R,Rijksweg A15,1.0,15.0,600280225.0,2024-03-01,Alblasserdam,GM0482,Alblasserdam,https://wegkenmerken.ndw.nu/api/images/9bfae2a3-5842-43a3-beb0-051632d057e4,2016-05-09,2022-05-02,,,,4.6651446941103,51.856903823551,POINT (4.665145 51.856904)
00589247-216b-4b94-960c-1598c2aad9f9,,,A3,PLACED,[ ],L,Rijksweg,1.0,18.0,600149168.0,2024-03-01,Zevenaar,GM0299,Babberich,https://wegkenmerken.ndw.nu/api/images/f57a7548-f9b8-4ffd-bc38-79dce63ec07e,2022-04-29,2022-04-29,,,,6.1421451005804,51.916699416864,POINT (6.142145 51.916699)
