id,externalId,validatedOn,rvvCode,status,textSigns,side,roadName,roadType,roadNumber,roadSectionId,nwbVersion,countyName,countyCode,townName,imageUrl,firstSeenOn,lastSeenOn,placedOn,removedOn,longitude,latitude,geometry_wkt
bf639e8d-bbf4-4f14-80c5-221aa86a8842,4565295B-F018-4F89-A4D7-6B0341F2083E,,J8,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""drempels"" } ]",NNO,Laan van Westmolen,,,600727553.0,2025-08-01,Hoeksche Waard,GM1963,Mijnsheerenland,https://wegkenmerken.ndw.nu/api/images/0a6b34c5-4ee1-46f9-bbfc-12f0f05092b5,2016-11-10,2025-08-21,,,4.4769027939739665,51.79407499745053,POINT (4.476903 51.794075)
bf790820-778d-4269-beea-01912b8a2372,,,J8,PLACED,[ ],W,Beatrixstraat,,,280252002.0,2024-03-01,West Betuwe,GM1960,Hellouw,https://wegkenmerken.ndw.nu/api/images/3d108b08-bd62-4fca-980f-b162865dec69,2016-08-16,2022-05-02,,,5.1769142726857,51.824957585073,POINT (5.176914 51.824958)
bf7c5824-fb35-473d-a26b-e30f16a79c99,,,J8,PLACED,[ ],Z,Brugweg,,,149158011.0,2024-03-01,Reimerswaal,GM0703,Rilland,https://wegkenmerken.ndw.nu/api/images/18700599-4419-4812-b24c-a1e12e456946,2016-12-14,2022-02-24,,,4.2326401033201,51.3955670815,POINT (4.23264 51.395567)
bf7edcc7-9868-4457-85ef-a3708e38d08b,,,J8,PLACED,[ ],O,Sevenaerpad,,,401503030.0,2024-03-01,Heerenveen,GM0074,Oudehorne,https://wegkenmerken.ndw.nu/api/images/22427ae7-cf0b-45e5-a2a0-977889bbf8c0,2016-11-09,2022-09-28,,,6.069842986608,52.952322274924,POINT (6.069843 52.952322)
bf84a468-1c97-4b3e-901f-ff398692172c,,,J8,PLACED,[ ],N,Panoven,,,600774623.0,2024-03-01,Vijfheerenlanden,GM1961,Vianen,https://wegkenmerken.ndw.nu/api/images/4598ec05-58de-4d60-b56e-3a3d9b958ed6,2017-01-18,2022-07-11,,,5.0927212997841,51.981734216594,POINT (5.092721 51.981734)
bf854eda-7de3-43ff-97f0-075a5bd516aa,,,J8,PLACED,[ ],W,Droge Wijmersweg,,,272458003.0,2024-03-01,Medemblik,GM0420,Medemblik,https://wegkenmerken.ndw.nu/api/images/12988833-95cd-4d5f-bbc9-f83d638f1203,2016-04-20,2022-03-30,,,5.1090413610069,52.751414019016,POINT (5.109041 52.751414)
bf97cf8c-3682-40a0-89b8-8d51b955dc5d,,,J8,PLACED,[ ],Z,Haarveen,,,601271444.0,2024-11-01,Noordenveld,GM1699,Foxwolde,https://wegkenmerken.ndw.nu/api/images/b7554579-d811-4ede-b0de-38497d15cf45,2016-02-03,2022-02-17,,,6.4504036675898,53.152610639242,POINT (6.450404 53.152611)
bf98ca7b-c52b-4245-84e1-e98d84ffd443,,,J8,PLACED,[ ],O,Leunkweg,,,471302002.0,2024-03-01,Berkelland,GM1859,Beltrum,https://wegkenmerken.ndw.nu/api/images/035e79fe-f1cc-43a0-a709-9d6cd75f5a24,2016-12-12,2022-03-05,,,6.5691033004187,52.045824831794,POINT (6.569103 52.045825)
bf9ea965-9cbc-49ba-8404-9cbca0b6c434,,,J8,PLACED,[ ],O,Houtgraven,,,393129001.0,2024-03-01,Leudal,GM1640,Neer,https://wegkenmerken.ndw.nu/api/images/2f87ef4e-f2d1-4acd-91d2-2d0f0d72ce1b,2021-05-10,2022-05-03,,,5.984963164975,51.26919823467,POINT (5.984963 51.269198)
bfabd691-cde4-4d6d-85e4-1c3610deb8f2,,,J8,PLACED,[ ],O,Hoofdweg,,,235332004.0,2024-03-01,De Ronde Venen,GM0736,Mijdrecht,https://wegkenmerken.ndw.nu/api/images/24a0618d-c988-459f-b1f3-a3134028443d,2016-10-05,2024-02-19,,,4.8434085367287,52.19268967743,POINT (4.843409 52.19269)
bfada376-f667-4953-a3e8-2be290cef194,,,J8,PLACED,[ ],Z,Achterweg,,,216418096.0,2024-03-01,Castricum,GM0383,Limmen,https://wegkenmerken.ndw.nu/api/images/25cdaccf-58a2-4b47-b901-35d6e91fc81d,2020-04-16,2022-06-14,,,4.7000902924799,52.569203915635,POINT (4.70009 52.569204)
bfb106f6-e2c4-4a20-aba4-bb670d643e40,,,J8,PLACED,[ ],Z,Karstraat,,,365281003.0,2024-03-01,Overbetuwe,GM1734,Driel,https://wegkenmerken.ndw.nu/api/images/0d3a04eb-23fe-43a3-b39f-5a3363a5bbb8,2016-02-25,2022-02-03,,,5.7921976910173,51.955015775493,POINT (5.792198 51.955016)
bfb35d6d-6026-49be-bc1b-abc1ae6c9b1e,,,J8,PLACED,[ ],O,Wassenaarseweg,,,165313051.0,2024-03-01,'s-Gravenhage,GM0518,'s-Gravenhage,https://wegkenmerken.ndw.nu/api/images/9a09375e-e22c-4b29-824e-f790636998a4,2016-09-15,2022-10-26,,,4.3319660737413,52.096594398109,POINT (4.331966 52.096594)
bfb9b6ed-29ed-4941-9578-080e7059f079,,,J8,PLACED,[ ],W,Driegaardsestraat,,,383276009.0,2024-03-01,Lingewaard,GM1705,Huissen,https://wegkenmerken.ndw.nu/api/images/aa34d6de-1168-4648-8de2-961923e078af,2017-10-06,2022-10-03,,,5.9248674863781,51.931554346411,POINT (5.924867 51.931554)
bfbabc26-0a12-4a60-8aa1-142ff3e10f83,,,J8,PLACED,[ ],Z,Lageweg,,,478606001.0,2024-03-01,Het Hogeland,GM1966,Uithuizen,https://wegkenmerken.ndw.nu/api/images/db40c53c-ee9c-47bf-876d-2d8af48392ff,2016-09-07,2022-06-15,,,6.654751214292,53.40925763181,POINT (6.654751 53.409258)
bfbe7353-2178-482c-b06a-935ce7d7df12,,,J8,PLACED,[ ],O,Valckenisseweg,,,600711832.0,2024-03-01,Reimerswaal,GM0703,Rilland,https://wegkenmerken.ndw.nu/api/images/439401f6-bfe5-4e14-bfde-21da67b63004,2016-12-14,2022-02-24,,,4.1909157865379,51.423089898093,POINT (4.190916 51.42309)
bfbff6be-26e5-4334-a628-ae81b0708483,,,J8,PLACED,[ ],Z,Tussenriemer,,,600725537.0,2024-03-01,Roosendaal,GM1674,Roosendaal,https://wegkenmerken.ndw.nu/api/images/1a2ca0b7-4f02-488a-add7-de1c90d3b816,2016-02-11,2024-02-19,,,4.4610501507957,51.553425603089,POINT (4.46105 51.553426)
bfc26d99-f6cf-4208-8bd3-b951482ab8b6,,,J8,PLACED,[ ],Z,Maatsteeg,,,302280002.0,2024-03-01,Buren,GM0214,Ravenswaaij,https://wegkenmerken.ndw.nu/api/images/fb394fe8-6e05-4ffa-9ba3-edf7dec39721,2016-05-03,2022-05-12,,,5.3349113527407,51.945991783746,POINT (5.334911 51.945992)
bfcb3f4e-20d0-40e5-821c-e5889eab2e99,,,J8,PLACED,[ ],W,Camerig,,,600237970.0,2024-03-01,Vaals,GM0981,Vijlen,https://wegkenmerken.ndw.nu/api/images/a652e7b0-88c5-4bdd-a79b-ae7dbc97a907,2016-05-25,2022-03-24,,,5.9322132335064,50.76932885516,POINT (5.932213 50.769329)
bfd25dec-3c0f-4bcb-9201-7d057491af08,,,J8,PLACED,[ ],O,Leeuwenhoekweg,,,600730804.0,2024-03-01,Lansingerland,GM1621,Bergschenhoek,https://wegkenmerken.ndw.nu/api/images/b01d334b-0c98-47c5-849b-4f8e14def27c,2021-10-05,2024-02-19,,,4.5062704917167,51.984195430515,POINT (4.50627 51.984195)
bfd2a5bc-223a-4211-a012-acb367a2e945,,,J8,PLACED,"[ { ""type"": ""VOOR"", ""text"": ""na 50 m"" } ]",O,Zwarteweg,,,363615004.0,2024-03-01,Ameland,GM0060,Buren,https://wegkenmerken.ndw.nu/api/images/db676c80-c9ca-4a1b-844b-1a1b859232a8,2016-10-25,2023-12-03,,,5.7933155876296,53.455453060254,POINT (5.793316 53.455453)
bfd52819-ef6d-4c76-adb4-5809f2b7ec53,,,J8,PLACED,[ ],N,Op het Schoor,,,394116004.0,2024-03-01,Roermond,GM0957,Roermond,https://wegkenmerken.ndw.nu/api/images/611399ec-7cc5-494e-b6db-701cc9f1c29b,2016-05-02,2022-05-13,,,5.9952242675276,51.211061591987,POINT (5.995224 51.211062)
bfd7d0bf-ab2f-45ed-8619-5099c14e96aa,,,J8,PLACED,[ ],W,Hoolstraat,,,276201002.0,2024-03-01,Tilburg,GM0855,Berkel-Enschot,https://wegkenmerken.ndw.nu/api/images/c7710dcd-25be-494c-abb6-ca000493f335,2018-06-27,2022-06-30,,,5.1476516392531,51.596652603718,POINT (5.147652 51.596653)
bfd9f78a-a2e5-4ed9-a584-45ef91e87747,,,J8,PLACED,[ ],N,Pasmanweg,,,477326001.0,2024-03-01,Berkelland,GM1859,Neede,https://wegkenmerken.ndw.nu/api/images/ad65fb42-5fd7-4fec-837b-da34c9711fbc,2016-12-03,2022-03-02,,,6.6144936245744,52.153191936931,POINT (6.614494 52.153192)
bfdb717e-1ca7-49f2-b928-93744fa6be5e,,,J8,PLACED,[ ],N,Schoolstraat,,,470397006.0,2024-03-01,Twenterand,GM1700,Vroomshoop,https://wegkenmerken.ndw.nu/api/images/dd1405a8-50a3-45c2-9c11-5870afdf98d1,2016-08-17,2022-09-21,,,6.5733325311531,52.462249672887,POINT (6.573333 52.46225)
bfe78c45-6b2e-4045-9ef7-b5d97425a86c,,,J8,PLACED,[ ],Z,St Claralaan,,,321163037.0,2024-03-01,Eindhoven,GM0772,Eindhoven,https://wegkenmerken.ndw.nu/api/images/7b654452-f174-44b7-b194-be2e94a32492,2016-08-31,2022-08-08,,,5.4688820993513,51.423991894654,POINT (5.468882 51.423992)
bff402dc-ff27-45b1-871d-bf6f2bbd24da,,,J8,PLACED,[ ],W,Veerkensweg,,,178198013.0,2024-03-01,Halderberge,GM1655,Oud Gastel,https://wegkenmerken.ndw.nu/api/images/9fd047e0-ebde-42a5-ac8c-f572f6b48669,2016-04-27,2022-06-29,,,4.4366265108554,51.580398833968,POINT (4.436627 51.580399)
bff82500-7a13-4659-8ca2-c0ad5555f12b,,,J8,PLACED,[ ],W,Hoogstraat,,,413145023.0,2024-03-01,Venlo,GM0983,Tegelen,https://wegkenmerken.ndw.nu/api/images/e06ea685-6cb2-48cc-b8db-c7210e65fc22,2016-02-25,2022-03-02,,,6.1328647103727,51.343501305786,POINT (6.132865 51.343501)
c00b34b0-78a1-488e-9b9f-329a250fce93,,,J8,PLACED,[ ],O,Westeindigerdijk,,,484421002.0,2024-03-01,Hardenberg,GM0160,Loozen,https://wegkenmerken.ndw.nu/api/images/9148fc73-cf78-4e2c-b896-b739b871e786,2020-08-13,2022-09-01,,,6.6803772325199,52.577851001946,POINT (6.680377 52.577851)
c00ea0ac-8f38-40da-84f8-001fa89fdb5b,,,J8,PLACED,"[ { ""type"": ""VRIJ"", ""text"": ""rechts voorrang"" } ]",W,High Tech Campus,,,,,Eindhoven,GM0772,Eindhoven,https://wegkenmerken.ndw.nu/api/images/f0dbe5e5-d54f-4527-9e3f-fb23e323ba66,2016-08-31,2022-08-09,,,5.4594175929916,51.413644391363,POINT (5.459418 51.413644)
c029eb36-185e-4124-b829-9ef3c89e684c,,,J8,PLACED,[ ],Z,Driehoekweg,,,457418008.0,2024-03-01,Ommen,GM0175,Stegeren,https://wegkenmerken.ndw.nu/api/images/9f236b29-6897-44fc-83af-3feaf44288e6,2016-09-05,2022-08-15,,,6.4784151016174,52.560725855907,POINT (6.478415 52.560726)
