site_id,timestamp,speed
PZH01_MST_0065_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,47.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,47.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,46.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,46.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,47.0
PZH01_MST_0065_00,2025-10-23T14:10:00Z,47.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,23.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,23.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,22.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,22.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,23.0
PZH01_MST_0029-00,2025-10-23T14:10:00Z,23.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,39.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,39.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,44.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,44.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,45.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,45.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,40.0
PZH01_MST_0088_00,2025-10-23T14:10:00Z,40.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,64.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,64.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,64.0
PZH01_MST_0661_00,2025-10-23T14:10:00Z,64.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,76.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,76.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,68.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,68.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,74.0
PZH01_MST_0122_00,2025-10-23T14:10:00Z,74.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,49.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,49.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,49.0
PZH01_MST_0088_01,2025-10-23T14:10:00Z,49.0
PZH01_MST_0635_01_01,2025-10-23T14:10:00Z,55.0
PZH01_MST_0635_01_01,2025-10-23T14:10:00Z,55.0
PZH01_MST_0635_01_01,2025-10-23T14:10:00Z,55.0
PZH01_MST_0635_01_01,2025-10-23T14:10:00Z,55.0
PZH01_MST_0635_01_01,2025-10-23T14:10:00Z,61.0
PZH01_MST_0635_01_01,2025-10-23T14:10:00Z,61.0
PZH01_MST_0635_01_01,2025-10-23T14:10:00Z,55.0
PZH01_MST_0635_01_01,2025-10-23T14:10:00Z,55.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,62.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,62.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,50.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,50.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,60.0
PZH01_MST_0661_01,2025-10-23T14:10:00Z,60.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,73.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,73.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,76.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,76.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,86.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,86.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,75.0
PZH01_MST_0122_01,2025-10-23T14:10:00Z,75.0
PZH01_MST_0635_01_00,2025-10-23T14:10:00Z,67.0
PZH01_MST_0635_01_00,2025-10-23T14:10:00Z,67.0
PZH01_MST_0635_01_00,2025-10-23T14:10:00Z,72.0
PZH01_MST_0635_01_00,2025-10-23T14:10:00Z,72.0
PZH01_MST_0635_01_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0635_01_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0635_01_00,2025-10-23T14:10:00Z,67.0
PZH01_MST_0635_01_00,2025-10-23T14:10:00Z,67.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,93.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,93.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,93.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,93.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,80.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,80.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,76.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,76.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,80.0
PZH01_MST_0982_00,2025-10-23T14:10:00Z,80.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,72.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,72.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,72.0
PZH01_MST_0684_00,2025-10-23T14:10:00Z,72.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,79.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,79.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,79.0
PZH01_MST_0684_01,2025-10-23T14:10:00Z,79.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,76.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,76.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,74.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,74.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,76.0
PZH01_MST_0935_01,2025-10-23T14:10:00Z,76.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,49.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,49.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,45.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,45.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,49.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,49.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,48.0
PZH01_MST_0065_01,2025-10-23T14:10:00Z,48.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,82.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,82.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,82.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,82.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,82.0
PZH01_MST_0935_00,2025-10-23T14:10:00Z,82.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,34.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,34.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,24.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,24.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,32.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,32.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,33.0
PZH01_MST_0958_00,2025-10-23T14:10:00Z,33.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,28.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,28.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,21.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,21.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,26.0
PZH01_MST_0958_01,2025-10-23T14:10:00Z,26.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,80.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,80.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,83.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,83.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,-1.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,80.0
PZH01_MST_0018_01,2025-10-23T14:10:00Z,80.0
PZH01_MST_0832_01,2025-10-23T14:10:00Z,-1.0
